UID|number|genus|species|subspecies|variety|cultivar|synonym|form|affinity|ex|information|source|seeding_date|purchase_date|pot_width|pot_height|soil|description
465416||Astrophytum|asterias||hybrid|||||||||06.09.2020||||Куплен на Cactus Fest
080540|P240|Gymnocalycium|pflanzii|||||||||A. Repetunov|16.01.2020|23.06.2021||||Из семян от Sorokinsх
164023||Astrophytum|myriostigma||fukuryu|||||||D. Demin||18.04.2021||||Куплен на 1000 руб. на Mesa Market
382686||Matucana|madisoniorum||asterium|||||||M. Nikolaev|01.06.2015|27.07.2021||||Куплен за 500 руб
623452|P401|Frailea|pumila|||||||||M. Nikolaev|01.03.2016|27.05.2021||||Подарок при заказе
760902||Espostoa|lanata|||||||||IKEA||25.05.2013||||Более известен под именем Глеб
361577||Aeonium|sunburst|||||cristata, variegata||||G. Aristov||02.07.2020||||Куплен за 850 руб.
395008||Astrophytum|asterias||hybrid|||||||M. Nikolaev|01.06.2019|27.05.2021||||Подарок при заказе
139778|AH344|Gymnocalycium|denudatum|||||||||M. Nikolaev|01.03.2016|27.07.2021||||Куплен за  250 руб
130049||Gymnocalycium|spegazzinii|||Feduka||||||A. Repetunov|10.03.2020|23.06.2021||||Культивар с очень длинной колючкой. Семена от D. Deminа
279227||Gymnocalycium|denudatum|||Suba||||||M. Nikolaev|02.07.2020|23.06.2021||||
572329|P127|Gymnocalycium|baldianum|||||||||M. Nikolaev|01.11.2015|23.06.2021||||
643756|RUS366|Gymnocalycium|gibbosum||chubutense|||||||M. Nikolaev|01.06.2015|27.07.2021||||
328686|VG675|Gymnocalycium|ritterianum|||||||||M. Nikolaev|01.05.2017|23.06.2021||||
101222||Gymnocalycium|pungens|||||||||A. Repetunov|23.01.2020|23.06.2021||||Подарок при заказе
993321||Crassula|ovata|||||||||||01.10.2006||||
735590||Astrophytum|myriostigma||potosinum|||||||M. Nikolaev|01.06.2018|23.06.2021||||Подарок при заказе
595397|RUS375|Gymnocalycium|hyptiacanthum||schatzlianum|||||||M. Nikolaev|01.05.2017|27.07.2021||||BA RUS 375, Куплен за 250 руб
981601|VS161|Gymnocalycium|berchtii|||||||||M. Nikolaev|01.03.2016|27.05.2021||||
129686||Haworthia|moonstone|||||||||Y. Piterskaya||12.08.2020||||
963504||Sedum|rubrotinctum|||Аurora||||||||21.07.2020||||
062017||Echeveria||||Cupid||||||G. Aristov||02.07.2020||||Куплен за 700 руб.
737318|VG956|Gymnocalycium|cardenasianum|||||||||K. Avakov||05.09.2021||||Куплен за 200 руб
465479|HTH82a|Gymnocalycium|schickendantzii||bergeri|||||||K. Avakov||05.09.2021||||Куплен за 350 руб
343242|P81|Gymnocalycium|intertextum|||||||||Sorokins||12.08.2021||||Диаметр: 50mm
874045||Gymnocalycium|horstii|||||||||||01.01.2000||||Точная дата приобретения не известнаа
970217||Haworthia|truncata|||||||||G. Aristov||20.05.2020||||Куплена за 750 руб.
803545|TCG1101|Turbinicarpus|panarottoi|||||||||M. Nikolaev|01.05.2017|23.06.2021||||
311547||Pachyphytum|compactum|||||||||||21.07.2020||||
359855|87|Conophytum|obcordllum|||Germanum||||||Atomic Plant|2021-11-07|||||
609213|GF271|Frailea|asterioides|||||||||M. Nikolaev|01.06.2018|27.05.2021||||
257354|C143B|Lithops|schwantesii|||||TRIEBNERI||||V. Nesuta|2021-10-23||6||Lechuza Pon|
891310||Adenium|arabicum|||Tiny Ding Dong||||||S. Komissarova|20.10.2020|12.09.2021||||
321792||Adenium|arabicum|||Brazilian||||||S. Komissarova|10.03.2020|12.09.2021||||
986343|PV230|Dinteranthus|microspermus||puberulus|||||||V. Nesuta||13.09.2021||||
689533|C054|Lithops|aucampiae||fluminalis|||||||V. Nesuta||13.09.2021||||
625617||Lithops|aucampiae||Bella Katty|||||||V. Nesuta||13.09.2021||||
664394|C368|Lithops|bromfieldii|||||||||V. Nesuta||13.09.2021||||
672929||Lithops|bromfieldii|||||||||V. Nesuta|2021-11-07|13.09.2021||||Welgevonden Farm
585132|SH389|Lithops|comptonii|||||||||V. Nesuta|2021-11-07|13.09.2021||||
780292|C347|Lithops|comptonii||weberi|||||||V. Nesuta|2021-11-07|13.09.2021||||
572313|C206A|Lithops|dinteri|||Dintergreen||||||V. Nesuta||13.09.2021||||
138855|F357|Lithops|dorothea|||||||||V. Nesuta|2021-11-07|13.09.2021||||
282041|C202|Lithops|divergens|||||||||V. Nesuta|2021-11-07|13.09.2021||||
220197|C269|Lithops|divergens|||||||||V. Nesuta|2021-11-07|13.09.2021||||
612742|C371|Lithops|franciscii|||||||||V. Nesuta|2021-11-07|13.09.2021||||
415594|394A|Lithops|gracilidelineata||brandbergensis|Yellow Green||||||V. Nesuta|2021-11-07|13.09.2021||||(393A)
